City_Code,City_Category
C10001,A
C10003,A
C10125,C
C10477,C
C10002,A
C10402,C
C10022,B
C10014,B
C10030,B
C10032,C
C10019,B
C10006,A
C10016,B
C10004,A
C10051,B
C10024,A
C10005,A
C10097,C
C10007,A
C10712,C
C10015,C
C10023,B
C10027,A
C10013,B
C10020,A
C10036,C
C10008,A
C10031,C
C10210,C
C10121,C
C10162,C
C10017,B
C10010,A
C10028,C
C10011,B
C10009,B
C10169,C
C10069,C
C10283,C
C10492,C
C10519,C
C10376,C
C10018,C
C10140,C
C10260,C
C10251,C
C10434,C
C10148,C
C10039,B
C10021,B
C10221,C
C10268,C
C10167,C
C10112,C
C10103,C
C10091,B
C10094,C
C10060,C
C10033,C
C10130,C
C10040,C
C10263,C
C10072,B
C10054,C
C10064,C
C10093,C
C10042,C
C10314,C
C10487,C
C10449,C
C10025,A
C10107,C
C10573,C
C10110,C
C10645,C
C10063,C
C10066,C
C10203,C
C10074,C
C10034,C
C10255,C
C10084,C
C10012,A
C10611,C
C10333,C
C10073,C
C10340,C
C10044,C
C10229,C
C10109,C
C10293,C
C10050,C
C10075,C
C10420,C
C10026,C
C10177,C
C10176,C
C10149,C
C10132,C
C10254,C
C10286,C
C10172,C
C10045,C
C10258,C
C10158,C
C10486,C
C10081,C
C10029,C
C10043,B
C10274,C
C10357,C
C10059,B
C10035,C
C10159,C
C10168,C
C10326,C
C10424,C
C10105,C
C10401,C
C10133,C
C10523,C
C10280,C
C10170,C
C10252,C
C10134,C
C10046,C
C10124,C
C10038,C
C10327,C
C10083,C
C10243,C
C10142,C
C10175,C
C10115,C
C10331,C
C10129,C
C10256,C
C10364,C
C10048,C
C10195,C
C10062,A
C10151,C
C10413,C
C10147,C
C10215,C
C10078,C
C10095,C
C10223,C
C10058,C
C10419,C
C10447,C
C10199,C
C10213,C
C10092,C
C10309,C
C10067,C
C10334,C
C10301,C
C10516,C
C10242,C
C10513,C
C10551,C
C10511,C
C10372,C
C10090,C
C10365,C
C10099,C
C10127,C
C10217,C
C10386,B
C10065,C
C10087,C
C10108,C
C10071,B
C10462,C
C10068,C
C10232,C
C10276,C
C10491,C
C10662,C
C10231,C
C10128,C
C10506,C
C10061,C
C10041,C
C10154,C
C10186,C
C10204,C
C10479,C
C10637,C
C10183,C
C10182,C
C10118,C
C10329,C
C10230,C
C10237,C
C10070,C
C10480,C
C10131,C
C10179,C
C10410,C
C10241,C
C10476,C
C10302,C
C10171,C
C10049,C
C10336,C
C10085,C
C10363,C
C10056,C
C10325,C
C10370,C
C10157,C
C10194,C
C10207,C
C10304,C
C10347,C
C10052,C
C10214,C
C10189,C
C10305,C
C10053,B
C10150,C
C10470,C
C10098,C
C10088,C
C10119,C
C10642,C
C10192,C
C10699,C
C10089,C
C10077,C
C10406,C
C10576,C
C10152,C
C10408,C
C10178,C
C10037,B
C10236,C
C10248,C
C10047,B
C10086,C
C10198,C
C10416,C
C10345,C
C10655,C
C10102,C
C10114,C
C10509,C
C10174,C
C10313,C
C10297,C
C10267,C
C10100,C
C10374,C
C10253,C
C10190,C
C10448,C
C10106,C
C10561,C
C10501,C
C10552,C
C10144,C
C10259,C
C10163,C
C10530,C
C10208,C
C10055,C
C10057,C
C10238,C
C10188,C
C10375,C
C10278,C
C10136,B
C10560,C
C10184,C
C10116,C
C10197,C
C10675,C
C10173,C
C10310,C
C10146,C
C10122,C
C10126,C
C10219,C
C10271,C
C10145,C
C10216,C
C10269,C
C10218,C
C10520,C
C10201,C
C10120,C
C10185,C
C10337,C
C10160,B
C10291,C
C10257,C
C10079,C
C10080,C
C10391,C
C10153,C
C10096,C
C10135,C
C10249,C
C10672,C
C10082,C
C10589,C
C10290,C
C10076,C
C10138,C
C10436,C
C10239,C
C10586,C
C10191,C
C10348,C
C10415,C
C10111,C
C10247,C
C10367,C
C10206,C
C10582,C
C10330,C
C10235,C
C10220,C
C10264,C
C10453,C
C10104,C
C10467,C
C10460,C
C10209,C
C10377,C
C10605,C
C10366,C
C10299,C
C10499,C
C10494,C
C10141,C
C10461,C
C10187,C
C10430,C
C10522,C
C10373,C
C10497,C
C10566,C
C10508,C
C10205,C
C10500,C
C10155,C
C10113,C
C10165,C
C10200,C
C10540,C
C10437,C
C10438,C
C10608,C
C10240,C
C10346,C
C10156,C
C10193,C
C10445,C
C10644,C
C10245,C
C10399,C
C10117,C
C10137,C
C10369,C
C10161,C
C10388,C
C10164,C
C10292,C
C10320,C
C10181,C
C10355,C
C10143,B
C10341,C
C10353,C
C10403,C
C10587,C
C10288,C
C10464,C
C10720,C
C10261,C
C10615,C
C10394,C
C10244,C
C10404,C
C10504,C
C10383,B
C10359,C
C10289,C
C10282,C
C10677,C
C10425,C
C10490,C
C10295,C
C10351,C
C10392,C
C10427,C
C10459,C
C10426,C
C10180,C
C10393,C
C10308,C
C10518,C
C10471,C
C10395,C
C10640,C
C10321,C
C10318,C
C10695,C
C10287,C
C10212,C
C10270,C
C10618,C
C10123,C
C10226,C
C10503,C
C10653,C
C10224,C
C10281,C
C10433,C
C10273,C
C10139,C
C10601,C
C10380,C
C10338,C
C10481,C
C10524,C
C10352,C
C10306,C
C10451,C
C10378,C
C10536,C
C10389,C
C10284,C
C10660,C
C10547,C
C10233,C
C10272,C
C10344,C
C10300,C
C10211,C
C10444,C
C10502,C
C10362,C
C10468,C
C10312,B
C10315,C
C10246,C
C10339,C
C10368,C
C10397,C
C10620,C
C10319,C
C10629,C
C10294,C
C10473,C
C10349,C
C10454,B
C10535,C
C10622,C
C10572,C
C10228,C
C10488,C
C10603,C
C10579,C
C10548,C
C10544,C
C10356,C
C10439,C
C10627,C
C10521,C
C10332,C
C10303,C
C10285,C
C10222,C
C10443,C
C10604,C
C10317,C
C10541,C
C10442,C
C10360,C
C10166,C
C10527,C
C10478,C
C10651,C
C10472,C
C10350,C
C10616,C
C10598,C
C10266,C
C10557,C
C10227,C
C10546,C
C10578,C
C10577,C
C10452,C
C10498,C
C10619,C
C10532,C
C10322,C
C10569,C
C10517,C
C10634,C
C10407,C
C10715,C
C10101,C
C10335,C
C10525,C
C10681,C
C10428,C
C10643,C
C10421,C
C10455,C
C10298,C
C10647,C
C10528,C
C10466,C
C10405,C
C10456,C
C10610,C
C10474,C
C10409,C
C10396,C
C10594,C
C10382,C
C10537,C
C10225,C
C10609,C
C10441,C
C10463,B
C10316,C
C10684,C
C10279,C
C10668,C
C10581,C
C10457,C
C10624,C
C10440,C
C10512,C
C10431,C
C10250,C
C10400,B
C10458,C
C10562,C
C10613,C
C10621,C
C10371,C
C10411,C
C10505,C
C10323,C
C10275,C
C10414,C
C10343,C
C10277,C
C10342,C
C10262,C
C10545,C
C10515,C
C10202,C
C10384,C
C10607,C
C10533,C
C10324,C
C10664,C
C10422,C
C10381,C
C10570,C
C10475,C
C10708,C
C10700,C
C10387,C
C10484,C
C10565,C
C10432,C
C10575,C
C10659,C
C10398,C
C10423,C
C10469,C
C10354,C
C10418,C
C10379,C
C10234,C
C10296,C
C10196,B
C10265,C
C10558,C
C10722,C
C10429,C
C10385,C
C10307,C
C10361,C
C10588,C
C10510,C
C10665,C
C10311,C
C10564,C
C10495,C
C10690,C
C10606,C
C10633,C
C10417,C
C10446,C
C10571,C
C10648,C
C10714,C
C10465,C
C10483,C
C10450,C
C10585,C
C10328,C
C10489,C
C10358,C
C10514,C
C10559,C
C10631,C
C10507,C
C10654,C
C10493,C
C10674,C
C10635,C
C10412,C
C10482,C
C10496,C
C10534,C
C10539,C
C10599,C
C10617,C
C10602,C
C10646,C
C10663,C
C10543,C
C10390,C
C10555,C
C10628,C
C10597,C
C10689,C
C10580,C
C10709,C
C10531,C
C10595,C
C10661,C
C10529,C
C10554,C
C10600,C
C10667,C
C10638,C
C10702,C
C10593,C
C10680,C
C10641,C
C10713,C
C10526,C
C10591,C
C10553,C
C10574,C
C10592,C
C10682,C
C10550,C
C10583,C
C10542,C
C10485,C
C10650,C
C10658,C
C10435,C
C10596,C
C10692,C
C10563,C
C10612,C
C10717,C
C10626,C
C10693,C
C10673,C
C10685,C
C10676,C
C10686,C
