Employer_Code,Employer_Category1,Employer_Category2
COM0044082,A,4
COM0000002,C,1
COM0005267,C,4
COM0004143,A,4
COM0001781,A,4
COM0007740,A,4
COM0030526,B,4
COM0016738,A,4
COM0010626,A,4
COM0042212,A,4
COM0002632,B,4
COM0019508,C,4
COM0003151,C,4
COM0002367,B,4
COM0000044,B,1
COM0033048,A,4
COM0023698,A,4
COM0008797,B,4
COM0012826,B,4
COM0001461,C,4
COM0017719,A,4
COM0006220,A,4
COM0000187,C,4
COM0032570,B,4
COM0021601,A,4
COM0029996,C,4
COM0001784,C,4
COM0023595,A,4
COM0000203,A,4
COM0039123,A,4
COM0000163,C,4
COM0001081,C,4
COM0003228,A,4
COM0000013,A,1
COM0000140,B,4
COM0000090,C,3
COM0003379,A,4
COM0011908,A,4
COM0003188,B,4
COM0034496,A,4
COM0045758,A,4
COM0015350,A,4
COM0050844,A,4
COM0012685,A,4
COM0008769,A,4
COM0000448,A,4
COM0000042,C,3
COM0000133,A,4
COM0019982,A,4
COM0027055,A,4
COM0004043,B,4
COM0000060,A,3
COM0031178,A,4
COM0000009,A,1
COM0000613,B,4
COM0000085,A,3
COM0014801,A,4
COM0044756,C,4
COM0000384,C,4
COM0057136,C,4
COM0006657,B,4
COM0007879,C,4
COM0000032,C,2
COM0046510,A,4
COM0009213,A,4
COM0000034,C,1
COM0030195,A,4
COM0000059,A,1
COM0023213,B,4
COM0036353,A,4
COM0000108,C,1
COM0027868,C,4
COM0000019,A,1
COM0000011,A,1
COM0055517,A,4
COM0032503,A,4
COM0001542,A,4
COM0000014,A,
COM0017551,A,4
COM0000306,C,4
COM0012734,A,4
COM0008820,B,4
COM0044859,A,4
COM0011887,A,4
COM0004692,B,4
COM0006485,B,4
COM0000004,B,2
COM0022498,A,4
COM0002411,A,4
COM0001718,C,4
COM0022726,B,4
COM0002676,A,4
COM0031372,A,4
COM0005614,A,4
COM0004878,A,4
COM0000225,B,4
COM0002788,C,4
COM0009005,A,4
COM0003027,A,4
COM0036037,A,4
COM0001241,A,4
COM0050107,A,4
COM0014582,A,4
COM0008300,A,4
COM0000029,B,3
COM0056321,B,4
COM0000005,A,1
COM0000438,C,4
COM0000833,B,4
COM0000265,B,4
COM0037020,A,4
COM0052858,A,4
COM0024193,B,4
COM0000210,A,4
COM0030600,A,4
COM0000249,C,4
COM0000056,A,1
COM0038430,C,4
COM0006342,B,4
COM0040809,A,4
COM0002209,A,4
COM0000008,A,1
COM0057111,A,4
COM0032449,C,4
COM0008332,A,4
COM0009400,A,4
COM0055473,B,4
COM0019397,C,4
COM0002011,B,4
COM0003829,A,4
COM0000147,B,4
COM0044623,A,4
COM0002294,B,4
COM0029105,C,4
COM0000657,C,4
COM0048536,A,4
COM0011323,A,4
COM0000196,C,4
COM0050687,A,4
COM0008241,A,4
COM0056711,A,4
COM0003897,B,4
COM0029738,B,4
COM0024153,A,4
COM0048846,B,4
COM0033914,B,4
COM0001510,C,4
COM0027809,A,4
COM0052257,A,4
COM0056133,A,4
COM0000925,C,4
COM0036598,A,4
COM0018364,A,4
COM0033955,A,4
COM0034666,A,4
COM0006831,C,4
COM0024682,A,4
COM0002854,A,4
COM0000123,C,3
COM0033973,C,4
COM0033349,A,4
COM0000729,C,4
COM0002811,B,4
COM0000300,A,4
COM0024783,A,4
COM0002032,C,4
COM0056045,B,4
COM0000007,C,1
COM0017038,B,4
COM0056542,B,4
COM0000972,A,4
COM0038664,A,4
COM0023700,A,4
COM0047389,A,4
COM0000324,C,4
COM0040593,C,4
COM0038059,C,4
COM0000027,B,2
COM0004399,C,4
COM0017259,B,4
COM0002283,B,4
COM0006028,B,4
COM0001357,C,4
COM0000015,C,3
COM0000817,C,4
COM0023836,A,4
COM0019915,C,4
COM0038621,A,4
COM0006901,B,4
COM0003046,A,4
COM0030018,B,4
COM0023300,A,4
COM0049319,B,4
COM0009729,C,4
COM0000238,C,4
COM0015277,A,4
COM0003069,A,4
COM0001909,A,4
COM0000337,C,4
COM0049516,A,4
COM0016220,A,4
COM0000023,A,
COM0010292,A,4
COM0042231,A,4
COM0004175,C,4
COM0000998,B,4
COM0016446,A,4
COM0019806,A,4
COM0000041,B,1
COM0000018,A,1
COM0000986,A,4
COM0000274,A,4
COM0001617,C,4
COM0029300,B,4
COM0018236,A,4
COM0000003,B,2
COM0023265,A,4
COM0051577,C,4
COM0000878,A,4
COM0000248,A,4
COM0027906,C,4
COM0001936,C,4
COM0056814,A,4
COM0019200,C,4
COM0002382,C,4
COM0045045,A,4
COM0002527,A,4
COM0004487,B,4
COM0000205,C,4
COM0000305,A,4
COM0006336,C,4
COM0007315,B,4
COM0000021,A,1
COM0007385,C,4
COM0007564,A,4
COM0010961,C,4
COM0055186,A,4
COM0000191,A,4
COM0047017,C,4
COM0013524,C,4
COM0050295,C,4
COM0001066,C,4
COM0000560,C,4
COM0000058,C,1
COM0009090,A,4
COM0001238,B,4
COM0035763,A,4
COM0041040,C,4
COM0011699,A,4
COM0000707,B,4
COM0045988,A,4
COM0029801,C,4
COM0038926,B,4
COM0010921,B,4
COM0002698,C,4
COM0012903,A,4
COM0019738,C,4
COM0041270,A,4
COM0005773,C,4
COM0003919,A,4
COM0004128,B,4
COM0013253,A,4
COM0002271,B,4
COM0000254,B,4
COM0009959,A,4
COM0003563,C,4
COM0028747,A,4
COM0016558,A,4
COM0000247,C,4
COM0013075,B,4
COM0045616,B,4
COM0004339,B,4
COM0001201,A,4
COM0044045,A,4
COM0002994,A,4
COM0055634,A,4
COM0040854,A,4
COM0020226,B,4
COM0004639,B,4
COM0046314,A,4
COM0007087,B,4
COM0020945,A,4
COM0011251,B,4
COM0005994,A,4
COM0004860,B,4
COM0013272,A,4
COM0035568,A,4
COM0000765,A,4
COM0000030,B,3
COM0001142,B,4
COM0000125,C,2
COM0001884,C,4
COM0000099,A,1
COM0006462,B,4
COM0000659,B,4
COM0005846,A,4
COM0019073,A,4
COM0048252,A,4
COM0008454,A,4
COM0024884,B,4
COM0010390,A,4
COM0015210,A,4
COM0007726,A,4
COM0017867,A,4
COM0016005,B,4
COM0000016,A,1
COM0045162,A,4
COM0046384,A,4
COM0055974,A,4
COM0000549,A,4
COM0024550,A,4
COM0007380,A,4
COM0054270,A,4
COM0018865,B,4
COM0000049,A,1
COM0022369,A,4
COM0031570,A,4
COM0032734,A,4
COM0028668,B,4
COM0002007,A,4
COM0000256,C,4
COM0000190,B,4
COM0004054,A,4
COM0052183,A,4
COM0004212,A,4
COM0006700,B,4
COM0018974,A,4
COM0055519,A,4
COM0051193,C,4
