ID,Interest_Rate,EMI
APPA10004965619,20,882
APPA10009948043,13,2307
APPA10014022611,16,730
APPA10020427809,20,743
APPA10034077602,13.99,1709
APPA10057826427,15.5,481
APPA10075779241,14.85,1186
APPA10083047816,20,743
APPA10085299046,27,544
APPA10089982625,14.85,711
APPA10096463231,15.5,481
APPA10111917447,31.5,959
APPA10114847046,18.25,1149
APPA10149244449,19,1008
APPA10149488619,28.5,1230
APPA10157068428,31.5,775
APPA10160649246,20,609
APPA10208906437,18,1085
APPA10234858636,20,530
APPA10252113822,14.49,1294
APPA10253052225,14.85,1915
APPA10253245242,31.5,1180
APPA10269109235,18.25,255
APPA10276507209,16.25,982
APPA10330708821,28.5,351
APPA10357483609,16,979
APPA10360564633,20,1060
APPA10365646419,18.4,1076
APPA10384351638,27,1817
APPA10388382838,13.99,3142
APPA10402016044,14.85,1683
APPA10407903011,15.5,349
APPA10429058647,16.75,1112
APPA10438355049,16.75,911
APPA10442701649,13.5,1887
APPA10442808848,14.3,1716
APPA10455515637,18.25,544
APPA10459647005,20,874
APPA10463902006,15.25,718
APPA10465248022,20,1060
APPA10466187045,20,768
APPA10473524813,31.5,553
APPA10490965642,31.5,885
APPA10493028445,19,778
APPA10493465217,20,874
APPA10494691819,20,926
APPA10502004804,13.99,2186
APPA10509302834,14.5,941
APPA10518614225,20,609
APPA10526653436,18.4,256
APPA10547804243,14.5,2541
APPA10565092629,15.75,484
APPA10568032203,13.99,683
APPA10581869836,23.5,1616
APPA10582822809,16.75,911
APPA10594421045,20,446
APPA10606718209,18.25,885
APPA10612531403,16.5,2999
APPA10615839225,20,2543
APPA10631978017,13,674
APPA10635196016,28.5,703
APPA10644354611,14.85,833
APPA10645834226,15.75,1209
APPA10656885225,17.5,1934
APPA10662639647,15,1387
APPA10662689636,16.75,494
APPA10665767039,31.5,959
APPA10675427006,16.75,742
APPA10699095428,20,372
APPA10706707439,20,304
APPA10707041842,18.25,766
APPA10732053446,16,2267
APPA10752777627,20,1113
APPA10761186219,14.85,484
APPA10780566032,18.15,1200
APPA10818441812,19,1323
APPA10822602835,15.5,457
APPA10824634202,14.85,2526
APPA10845996246,15.5,698
APPA10869246618,17.5,980
APPA10871311801,14.85,2466
APPA10874012445,31.5,1033
APPA10890352027,14.85,1499
APPA10892775413,14.85,1944
APPA10904513241,20,1060
APPA10906942834,19,1271
APPA10943658242,18.5,1104
APPA10946454633,31.5,885
APPA10966531015,23.5,1616
APPA10993393438,19,1090
APPA20001979437,18.15,295
APPA20011625225,14.85,346
APPA20018433441,20,954
APPA20019302006,16.75,1063
APPA20022985224,14.85,1998
APPA20031735043,15.5,1203
APPA20042576223,31.5,433
APPA20044174647,18,470
APPA20058963838,13.99,1612
APPA20069784237,13.5,230
APPA20080625835,20,768
APPA20082507012,24,392
APPA20087948203,25.5,1672
APPA20088474846,18.25,856
APPA20089098644,16.35,2941
APPA20103593445,20,1156
APPA20117066428,31.5,567
APPA20126763412,19.75,791
APPA20136219641,15.25,486
APPA20154683027,13,1426
APPA20159473827,18.4,896
APPA20175054415,15,1283
APPA20180834626,20,1007
APPA20183079428,15.75,701
APPA20199851216,32.5,438
APPA20201744803,15.25,2488
APPA20219095026,17,795
APPA20231704427,20,743
APPA20243465629,14.25,899
APPA20252949046,20,372
APPA20253402047,17,1715
APPA20255563435,20,795
APPA20264977845,20,2782
APPA20267745623,28.5,703
APPA20279273037,14.85,555
APPA20285578038,13.75,2094
APPA20287578006,13.99,1557
APPA20309807435,13.5,460
APPA20329025232,18.4,896
APPA20335018624,16.75,977
APPA20336815819,14.49,1270
APPA20340454821,20,265
APPA20340587404,20,1115
APPA20353975003,20,1187
APPA20360499021,17.5,754
APPA20361986013,13.99,465
APPA20364582832,16.75,1112
APPA20365264844,13.49,2300
APPA20366152803,13.99,820
APPA20407813022,14.85,692
