OrderID,OrderDate,PropertyID,ProductID,Quantity
1,01-01-2015,17,41,1
2,01-01-2015,15,54,2
3,01-01-2015,5,71,2
4,01-01-2015,19,3,2
5,01-01-2015,12,45,3
6,01-01-2015,6,94,2
7,01-01-2015,5,35,2
8,02-01-2015,16,93,1
9,02-01-2015,4,93,3
10,02-01-2015,2,61,2
11,02-01-2015,2,24,1
12,02-01-2015,8,23,1
13,02-01-2015,12,24,2
14,03-01-2015,4,94,3
15,03-01-2015,16,20,2
16,03-01-2015,2,94,3
17,03-01-2015,19,84,1
18,03-01-2015,9,89,2
19,03-01-2015,20,21,3
20,03-01-2015,1,6,1
21,03-01-2015,8,57,3
22,03-01-2015,4,70,2
23,04-01-2015,17,24,1
24,04-01-2015,14,23,2
25,04-01-2015,12,52,1
26,04-01-2015,17,84,2
27,04-01-2015,10,74,1
28,05-01-2015,10,33,3
29,05-01-2015,5,73,2
30,05-01-2015,2,5,1
31,05-01-2015,11,79,2
32,06-01-2015,20,44,1
33,06-01-2015,9,64,1
34,06-01-2015,18,10,2
35,06-01-2015,1,87,1
36,06-01-2015,2,37,2
37,06-01-2015,3,23,3
38,06-01-2015,8,37,3
39,06-01-2015,10,30,3
40,06-01-2015,19,83,2
41,07-01-2015,13,19,2
42,07-01-2015,10,27,2
43,07-01-2015,5,87,3
44,07-01-2015,1,19,2
45,07-01-2015,9,23,2
46,08-01-2015,6,28,2
47,08-01-2015,14,47,3
48,08-01-2015,18,58,1
49,08-01-2015,15,13,3
50,08-01-2015,19,91,2
51,08-01-2015,5,67,2
52,08-01-2015,10,25,3
53,09-01-2015,8,51,3
54,09-01-2015,5,24,2
55,09-01-2015,14,8,3
56,10-01-2015,16,70,3
57,10-01-2015,19,41,2
58,10-01-2015,19,42,1
59,10-01-2015,13,93,2
60,10-01-2015,13,42,2
61,10-01-2015,1,18,3
62,10-01-2015,2,59,1
63,10-01-2015,7,19,2
64,11-01-2015,1,73,2
65,11-01-2015,6,83,1
66,11-01-2015,3,74,1
67,11-01-2015,5,70,2
68,11-01-2015,6,84,3
69,11-01-2015,2,48,2
70,11-01-2015,14,65,1
71,12-01-2015,19,30,1
72,12-01-2015,10,36,1
73,12-01-2015,11,25,3
74,12-01-2015,17,16,3
75,12-01-2015,3,27,2
76,12-01-2015,2,44,1
77,13-01-2015,18,44,3
78,13-01-2015,14,72,1
79,13-01-2015,16,39,3
80,13-01-2015,8,85,1
81,13-01-2015,2,75,2
82,14-01-2015,7,60,1
83,14-01-2015,20,53,1
84,14-01-2015,11,67,2
85,14-01-2015,20,65,1
86,14-01-2015,6,94,1
87,14-01-2015,14,44,3
88,14-01-2015,6,58,1
89,14-01-2015,9,59,3
90,15-01-2015,13,84,1
91,15-01-2015,16,16,3
92,15-01-2015,2,58,3
93,15-01-2015,4,73,1
94,15-01-2015,19,59,2
95,15-01-2015,12,84,3
96,16-01-2015,3,92,3
97,16-01-2015,12,34,2
98,16-01-2015,12,34,3
99,16-01-2015,1,64,2
100,16-01-2015,10,24,1
101,16-01-2015,12,31,3
102,16-01-2015,8,73,1
103,17-01-2015,19,78,1
104,17-01-2015,11,16,3
105,17-01-2015,4,50,2
106,17-01-2015,14,85,2
107,17-01-2015,16,56,2
108,18-01-2015,4,25,1
109,18-01-2015,13,90,2
110,18-01-2015,3,72,2
111,18-01-2015,3,39,2
112,18-01-2015,15,10,1
113,18-01-2015,15,15,3
114,18-01-2015,3,75,1
115,19-01-2015,10,4,2
116,19-01-2015,8,47,2
117,19-01-2015,15,34,3
118,20-01-2015,13,10,2
119,20-01-2015,17,79,2
120,20-01-2015,19,72,3
121,20-01-2015,5,5,2
122,20-01-2015,13,7,3
123,21-01-2015,20,22,1
124,21-01-2015,10,2,2
