OrderID,OrderDate,PropertyID,ProductID,Quantity
1,01-01-2015,17,41,7
2,01-01-2015,15,54,20
3,01-01-2015,5,71,4
4,01-01-2015,19,3,12
5,01-01-2015,12,45,5
6,01-01-2015,6,94,9
7,01-01-2015,5,35,7
8,02-01-2015,16,93,23
9,02-01-2015,4,93,7
10,02-01-2015,2,61,9
11,02-01-2015,2,24,4
12,02-01-2015,8,23,21
13,02-01-2015,12,24,12
14,03-01-2015,4,94,4
15,03-01-2015,16,20,1
16,03-01-2015,2,94,4
17,03-01-2015,19,84,13
18,03-01-2015,9,89,3
19,03-01-2015,20,21,16
20,03-01-2015,1,6,5
21,03-01-2015,8,57,4
22,03-01-2015,4,70,6
23,04-01-2015,17,24,7
24,04-01-2015,14,23,19
25,04-01-2015,12,52,11
26,04-01-2015,17,84,9
27,04-01-2015,10,74,9
28,05-01-2015,10,33,13
29,05-01-2015,5,73,17
30,05-01-2015,2,5,8
31,05-01-2015,11,79,12
32,06-01-2015,20,44,11
33,06-01-2015,9,64,5
34,06-01-2015,18,10,18
35,06-01-2015,1,87,16
36,06-01-2015,2,37,4
37,06-01-2015,3,23,15
38,06-01-2015,8,37,7
39,06-01-2015,10,30,7
40,06-01-2015,19,83,9
41,07-01-2015,13,19,17
42,07-01-2015,10,27,8
43,07-01-2015,5,87,10
44,07-01-2015,1,19,18
45,07-01-2015,9,23,17
46,08-01-2015,6,28,26
47,08-01-2015,14,47,1
48,08-01-2015,18,58,28
49,08-01-2015,15,13,5
50,08-01-2015,19,91,14
51,08-01-2015,5,67,7
52,08-01-2015,10,25,11
53,09-01-2015,8,51,11
54,09-01-2015,5,24,21
55,09-01-2015,14,8,13
56,10-01-2015,16,70,7
57,10-01-2015,19,41,9
58,10-01-2015,19,42,13
59,10-01-2015,13,93,9
60,10-01-2015,13,42,21
61,10-01-2015,1,18,15
62,10-01-2015,2,59,17
63,10-01-2015,7,19,17
64,11-01-2015,1,73,3
65,11-01-2015,6,83,6
66,11-01-2015,3,74,24
67,11-01-2015,5,70,9
68,11-01-2015,6,84,6
69,11-01-2015,2,48,4
70,11-01-2015,14,65,14
71,12-01-2015,19,30,10
72,12-01-2015,10,36,15
73,12-01-2015,11,25,26
74,12-01-2015,17,16,10
75,12-01-2015,3,27,4
76,12-01-2015,2,44,5
77,13-01-2015,18,44,12
78,13-01-2015,14,72,10
79,13-01-2015,16,39,11
80,13-01-2015,8,85,22
81,13-01-2015,2,75,18
82,14-01-2015,7,60,12
83,14-01-2015,20,53,18
84,14-01-2015,11,67,5
85,14-01-2015,20,65,6
86,14-01-2015,6,94,1
87,14-01-2015,14,44,14
88,14-01-2015,6,58,15
89,14-01-2015,9,59,6
90,15-01-2015,13,84,12
91,15-01-2015,16,16,11
92,15-01-2015,2,58,12
93,15-01-2015,4,73,15
94,15-01-2015,19,59,2
95,15-01-2015,12,84,9
96,16-01-2015,3,92,3
97,16-01-2015,12,34,7
98,16-01-2015,12,34,5
99,16-01-2015,1,64,16
100,16-01-2015,10,24,14
101,16-01-2015,12,31,5
102,16-01-2015,8,73,8
103,17-01-2015,19,78,11
104,17-01-2015,11,16,13
105,17-01-2015,4,50,11
106,17-01-2015,14,85,22
107,17-01-2015,16,56,6
108,18-01-2015,4,25,24
109,18-01-2015,13,90,10
110,18-01-2015,3,72,4
111,18-01-2015,3,39,7
112,18-01-2015,15,10,6
113,18-01-2015,15,15,21
114,18-01-2015,3,75,11
115,19-01-2015,10,4,28
116,19-01-2015,8,47,22
117,19-01-2015,15,34,6
118,20-01-2015,13,10,19
119,20-01-2015,17,79,15
120,20-01-2015,19,72,6
121,20-01-2015,5,5,14
122,20-01-2015,13,7,9
123,21-01-2015,20,22,10
124,21-01-2015,10,2,16
125,21-01-2015,11,3,10
126,21-01-2015,16,45,19
127,21-01-2015,18,91,10
128,21-01-2015,11,41,12
129,22-01-2015,2,39,15
130,22-01-2015,1,56,8
131,22-01-2015,4,59,12
132,22-01-2015,11,67,8
133,22-01-2015,9,29,7
134,22-01-2015,6,37,6
135,22-01-2015,4,38,12
136,22-01-2015,15,36,19
137,22-01-2015,15,66,5
138,22-01-2015,8,61,15
139,23-01-2015,8,2,20
140,23-01-2015,17,78,4
141,23-01-2015,11,14,9
142,23-01-2015,17,88,7
143,23-01-2015,14,16,5
144,23-01-2015,9,49,17
145,23-01-2015,5,69,12
146,23-01-2015,17,16,8
147,23-01-2015,8,68,7
148,23-01-2015,3,69,18
149,23-01-2015,8,73,10
150,24-01-2015,2,45,14
151,24-01-2015,18,77,4
152,24-01-2015,10,93,12
153,24-01-2015,17,50,9
154,24-01-2015,20,14,4
155,24-01-2015,1,52,11
156,24-01-2015,19,6,8
157,24-01-2015,9,56,5
158,24-01-2015,14,37,6
159,25-01-2015,9,90,9
160,25-01-2015,4,65,14
161,25-01-2015,18,58,29
162,25-01-2015,9,24,4
163,25-01-2015,17,41,8
164,25-01-2015,13,50,8
165,25-01-2015,4,93,21
166,25-01-2015,16,82,11
167,25-01-2015,8,13,5
168,26-01-2015,13,42,6
169,26-01-2015,8,90,11
170,26-01-2015,12,14,21
171,26-01-2015,7,9,5
172,26-01-2015,15,27,8
173,27-01-2015,17,92,18
174,27-01-2015,19,38,8
175,27-01-2015,20,87,9
176,27-01-2015,6,1,12
177,27-01-2015,20,67,13
178,27-01-2015,2,52,10
179,27-01-2015,20,68,14
180,27-01-2015,19,56,11
181,27-01-2015,13,81,14
182,27-01-2015,5,72,11
183,27-01-2015,9,16,10
184,28-01-2015,5,51,16
185,28-01-2015,2,24,1
186,28-01-2015,6,35,13
187,28-01-2015,20,11,15
188,28-01-2015,10,3,11
189,29-01-2015,14,64,6
190,29-01-2015,12,6,7
191,29-01-2015,17,70,6
192,29-01-2015,13,60,10
193,30-01-2015,18,68,13
194,30-01-2015,17,62,10
195,30-01-2015,8,36,16
196,30-01-2015,12,71,12
197,30-01-2015,12,54,12
198,30-01-2015,13,52,3
199,30-01-2015,20,58,28
200,31-01-2015,16,25,7
201,31-01-2015,14,27,14
202,31-01-2015,10,5,7
203,01-02-2015,18,11,13
204,01-02-2015,15,65,8
205,02-02-2015,1,42,10
206,02-02-2015,18,2,11
207,02-02-2015,7,53,6
208,02-02-2015,4,8,11
209,02-02-2015,2,63,8
210,02-02-2015,1,3,2
211,02-02-2015,17,75,14
212,02-02-2015,3,36,4
213,03-02-2015,3,33,9
214,03-02-2015,14,58,17
215,03-02-2015,5,39,14
216,03-02-2015,3,54,6
217,03-02-2015,19,81,13
218,03-02-2015,17,94,9
219,04-02-2015,1,2,10
220,04-02-2015,12,36,6
221,04-02-2015,1,53,1
222,05-02-2015,10,22,17
223,05-02-2015,1,6,5
224,05-02-2015,3,72,4
225,05-02-2015,2,9,6
226,06-02-2015,8,80,11
227,06-02-2015,7,46,3
228,06-02-2015,8,71,30
229,06-02-2015,15,30,13
230,07-02-2015,4,39,9
231,08-02-2015,3,36,22
232,08-02-2015,10,29,13
233,08-02-2015,9,64,5
234,08-02-2015,13,58,13
235,08-02-2015,1,5,14
236,08-02-2015,20,74,16
237,08-02-2015,7,33,13
238,09-02-2015,4,36,4
239,09-02-2015,17,34,10
240,09-02-2015,3,67,9
241,09-02-2015,20,93,20
242,09-02-2015,2,69,10
243,09-02-2015,7,53,19
244,10-02-2015,16,40,19
245,10-02-2015,19,15,4
246,10-02-2015,16,92,15
247,10-02-2015,16,39,14
248,10-02-2015,16,19,16
249,10-02-2015,5,49,14
250,10-02-2015,14,50,9
251,10-02-2015,14,66,5
252,11-02-2015,14,30,12
253,11-02-2015,5,12,12
254,11-02-2015,7,31,14
255,11-02-2015,11,78,7
256,11-02-2015,9,42,23
257,11-02-2015,20,65,5
258,11-02-2015,6,61,6
259,11-02-2015,5,89,8
260,11-02-2015,14,47,20
261,11-02-2015,17,38,16
262,12-02-2015,12,19,10
263,12-02-2015,12,37,2
264,12-02-2015,13,55,23
265,12-02-2015,14,2,4
266,12-02-2015,8,91,7
267,12-02-2015,10,55,27
268,12-02-2015,5,55,26
269,13-02-2015,7,49,14
270,13-02-2015,8,81,9
271,13-02-2015,10,86,10
272,13-02-2015,9,38,16
273,13-02-2015,12,58,27
274,13-02-2015,5,49,14
275,13-02-2015,8,72,7
276,13-02-2015,19,91,15
277,13-02-2015,12,75,17
278,13-02-2015,1,84,10
279,14-02-2015,6,51,5
280,14-02-2015,5,5,23
281,14-02-2015,14,44,14
282,14-02-2015,20,6,8
283,14-02-2015,3,61,12
284,14-02-2015,15,17,15
285,14-02-2015,7,44,14
286,15-02-2015,13,93,18
287,15-02-2015,18,21,17
288,15-02-2015,16,48,1
289,15-02-2015,10,40,13
