customer_id,trans_date,tran_amount
CS4768,15-Mar-15,39
CS5539,26-Mar-14,81
CS5902,30-Jan-15,89
CS5552,29-Dec-14,78
CS6043,15-Jan-14,98
CS3904,20-Jul-14,103
CS2859,27-Feb-15,77
CS1512,21-Feb-15,71
CS2797,06-Mar-14,87
CS5211,18-May-14,51
CS1511,13-Jan-15,47
CS6087,24-Nov-14,37
CS4897,12-Apr-14,45
CS3688,19-Jun-14,55
CS1423,05-Jun-14,78
CS2662,31-Aug-14,88
CS2403,27-Jul-14,94
CS2051,09-Dec-14,101
CS4704,25-Nov-14,41
CS5218,21-Jun-14,45
CS5489,02-Dec-14,77
CS2703,12-Oct-14,40
CS3419,29-Jan-15,38
CS3668,14-Aug-14,102
CS5776,09-Sep-14,87
CS2291,15-Oct-14,67
CS4245,02-Jun-14,102
CS3344,02-Jul-14,56
CS5463,27-Aug-14,91
CS5951,07-Aug-14,104
CS4320,09-Apr-14,52
CS4859,07-Jan-15,50
CS4148,08-Feb-14,40
CS4041,29-Dec-14,49
CS2516,15-Feb-15,55
CS5970,13-Jun-14,40
CS5260,30-Jan-15,46
CS5445,27-Jul-14,72
CS5812,02-Nov-14,62
CS3147,04-Jun-14,84
CS1776,03-May-14,79
CS4522,06-Mar-15,82
CS2418,01-Feb-15,51
CS1330,21-Nov-14,41
CS1195,29-Dec-14,83
CS4306,07-Mar-15,54
CS4701,15-Jan-15,95
CS5356,17-Jun-14,105
CS4667,17-Sep-14,66
CS2390,20-May-14,104
CS2207,05-Apr-14,71
CS1219,11-Nov-14,91
CS5287,14-Mar-15,94
CS4934,19-Jul-14,80
CS5359,12-Aug-14,96
CS5212,22-Jan-15,42
CS1511,25-Jan-15,69
CS2509,23-Feb-14,92
CS5994,11-Jan-14,42
CS1934,18-Aug-14,89
CS5225,18-Mar-14,104
CS3552,27-Apr-14,102
CS1430,02-Sep-14,71
CS5667,25-Feb-14,66
CS2359,10-Aug-14,87
CS5140,11-Jul-14,97
CS6001,16-Feb-14,63
CS3981,20-Sep-14,74
CS3885,29-Apr-14,56
CS4964,20-May-14,79
CS4881,21-Jan-14,55
CS4103,02-Mar-14,40
CS4438,05-Jul-14,72
CS2234,21-Dec-14,36
CS3015,30-Jan-14,58
CS3755,01-Jan-15,45
CS3927,25-Mar-14,77
CS1969,23-Oct-14,39
CS3854,09-Nov-14,104
CS3416,23-Feb-15,57
CS1678,09-May-14,48
