"Order Id";"Order Date";"Ship Date";"Ship Mode";"Product_Count";"Sales";"Quantity";"Profit"
"CA-2016-152156";"08-11-2016";"11-11-2016";"Second Class";2;993.9000000000001;5.0;261.49559999999997
"CA-2016-138688";"12-06-2016";"16-06-2016";"Second Class";1;14.62;2.0;6.8714
"US-2015-108966";"11-10-2015";"18-10-2015";"Standard Class";2;979.9455;7.0;-380.51460000000003
"CA-2014-115812";"09-06-2014";"14-06-2014";"Standard Class";7;3714.304;38.0;300.7687
"CA-2017-114412";"15-04-2017";"20-04-2017";"Standard Class";1;15.552;3.0;5.4432
"CA-2016-161389";"05-12-2016";"10-12-2016";"Standard Class";1;407.976;3.0;132.5922
"US-2015-118983";"22-11-2015";"26-11-2015";"Standard Class";2;71.354;8.0;-127.674
"CA-2014-105893";"11-11-2014";"18-11-2014";"Standard Class";1;665.88;6.0;13.3176
"CA-2014-167164";"13-05-2014";"15-05-2014";"Second Class";1;55.5;2.0;9.99
"CA-2014-143336";"27-08-2014";"01-09-2014";"Second Class";3;244.76;9.0;25.8774
"CA-2016-137330";"09-12-2016";"13-12-2016";"Standard Class";2;79.80000000000001;14.0;20.747999999999998
"US-2017-156909";"16-07-2017";"18-07-2017";"Second Class";1;71.372;2.0;-1.0196
"CA-2015-106320";"25-09-2015";"30-09-2015";"Standard Class";1;1044.63;3.0;240.2649
"CA-2016-121755";"16-01-2016";"20-01-2016";"Second Class";2;102.21799999999999;5.0;15.996500000000001
"US-2015-150630";"17-09-2015";"21-09-2015";"Standard Class";6;3322.576;22.0;-1642.2236
"CA-2017-107727";"19-10-2017";"23-10-2017";"Second Class";1;29.472;3.0;9.9468
"CA-2016-117590";"08-12-2016";"10-12-2016";"First Class";2;1288.4640000000002;12.0;-24.4893
"CA-2015-117415";"27-12-2015";"31-12-2015";"Standard Class";4;1228.9532;19.0;15.048000000000002
"CA-2017-120999";"10-09-2017";"15-09-2017";"Standard Class";1;147.168;4.0;16.5564
"CA-2016-101343";"17-07-2016";"22-07-2016";"Standard Class";1;77.88;2.0;3.894
"CA-2017-139619";"19-09-2017";"23-09-2017";"Standard Class";1;95.616;2.0;9.5616
"CA-2016-118255";"11-03-2016";"13-03-2016";"First Class";2;63.44;4.0;27.977600000000002
"CA-2014-146703";"20-10-2014";"25-10-2014";"Second Class";1;211.96;4.0;8.4784
"CA-2016-169194";"20-06-2016";"25-06-2016";"Standard Class";2;66.8;5.0;11.054
"CA-2015-115742";"18-04-2015";"22-04-2015";"Standard Class";4;209.55;15.0;73.3529
"CA-2016-105816";"11-12-2016";"17-12-2016";"Standard Class";2;1045.21;12.0;304.9421
"CA-2016-111682";"17-06-2016";"18-06-2016";"First Class";7;655.0899999999999;25.0;102.2808
"CA-2015-135545";"24-11-2015";"30-11-2015";"Standard Class";4;266.294;15.0;106.8083
"US-2015-164175";"30-04-2015";"05-05-2015";"Standard Class";1;213.115;5.0;-15.2225
"CA-2014-106376";"05-12-2014";"10-12-2014";"Standard Class";2;1280.992;12.0;174.2904
"CA-2016-119823";"04-06-2016";"06-06-2016";"First Class";1;75.88;2.0;35.6636
"CA-2016-106075";"18-09-2016";"23-09-2016";"Standard Class";1;4.616;1.0;1.731
"CA-2017-114440";"14-09-2017";"17-09-2017";"Second Class";1;19.05;3.0;8.763
"US-2015-134026";"26-04-2015";"02-05-2015";"Standard Class";3;1001.76;11.0;-131.3742
"US-2017-118038";"09-12-2017";"11-12-2017";"First Class";2;28.488;6.0;0.7896000000000003
"US-2014-147606";"26-11-2014";"01-12-2014";"Second Class";1;19.3;5.0;-14.475
"CA-2016-127208";"12-06-2016";"15-06-2016";"First Class";2;224.9;4.0;64.2384
"CA-2014-139451";"12-10-2014";"16-10-2014";"Standard Class";2;36.29;6.0;10.3751
"CA-2015-149734";"03-09-2015";"08-09-2015";"Standard Class";1;200.984;7.0;62.8075
"US-2017-119662";"13-11-2017";"16-11-2017";"First Class";1;230.376;3.0;-48.9549
"CA-2017-140088";"28-05-2017";"30-05-2017";"Second Class";1;301.96;2.0;33.2156
"CA-2017-155558";"26-10-2017";"02-11-2017";"Standard Class";2;26.15;3.0;9.7534
"CA-2016-159695";"05-04-2016";"10-04-2016";"Second Class";1;158.368;7.0;13.8572
"CA-2016-109806";"17-09-2016";"22-09-2016";"Standard Class";3;100.164;6.0;18.0216
"CA-2015-149587";"31-01-2015";"05-02-2015";"Second Class";3;99.26000000000002;7.0;38.9066
"US-2017-109484";"06-11-2017";"12-11-2017";"Standard Class";1;5.682;1.0;-3.788
"CA-2017-161018";"09-11-2017";"11-11-2017";"Second Class";1;96.53;7.0;40.5426
"CA-2017-157833";"17-06-2017";"20-06-2017";"First Class";1;51.312;3.0;17.9592
"CA-2016-149223";"06-09-2016";"11-09-2016";"Standard Class";1;77.88;6.0;22.5852
"CA-2016-158568";"29-08-2016";"02-09-2016";"Standard Class";3;162.388;13.0;8.781500000000001
"CA-2016-129903";"01-12-2016";"04-12-2016";"Second Class";1;23.92;4.0;11.7208
"US-2015-156867";"13-11-2015";"17-11-2015";"Standard Class";2;341.256;9.0;-30.7143
"CA-2017-119004";"23-11-2017";"28-11-2017";"Standard Class";3;105.408;10.0;20.7748
"CA-2015-129476";"15-10-2015";"20-10-2015";"Standard Class";1;339.96;5.0;67.992
"CA-2017-146780";"25-12-2017";"30-12-2017";"Standard Class";1;41.96;2.0;10.9096
"CA-2016-128867";"03-11-2016";"10-11-2016";"Standard Class";2;103.19999999999999;8.0;36.1356
"CA-2014-115259";"25-08-2014";"27-08-2014";"Second Class";4;199.256;25.0;67.7109
"CA-2015-110457";"02-03-2015";"06-03-2015";"Standard Class";1;787.53;3.0;165.3813
"US-2015-136476";"05-04-2015";"10-04-2015";"Standard Class";1;157.794;1.0;-115.7156
